,Sequence_1,Sequence_10,Sequence_100,Sequence_103,Sequence_11,Sequence_12,Sequence_13,Sequence_14,Sequence_15,Sequence_16,Sequence_18,Sequence_19,Sequence_2,Sequence_20,Sequence_21,Sequence_25,Sequence_26,Sequence_27,Sequence_28,Sequence_29,Sequence_3,Sequence_31,Sequence_32,Sequence_35,Sequence_38,Sequence_4,Sequence_42,Sequence_43,Sequence_44,Sequence_46,Sequence_47,Sequence_48,Sequence_49,Sequence_5,Sequence_50,Sequence_51,Sequence_52,Sequence_53,Sequence_54,Sequence_55,Sequence_57,Sequence_58,Sequence_59,Sequence_6,Sequence_60,Sequence_61,Sequence_62,Sequence_63,Sequence_64,Sequence_65,Sequence_66,Sequence_68,Sequence_69,Sequence_7,Sequence_70,Sequence_71,Sequence_73,Sequence_74,Sequence_76,Sequence_77,Sequence_78,Sequence_79,Sequence_8,Sequence_81,Sequence_82,Sequence_83,Sequence_84,Sequence_85,Sequence_86,Sequence_87,Sequence_88,Sequence_9,Sequence_90,Sequence_92,Sequence_93,Sequence_95,Sequence_96,Sequence_97,Sequence_98,Sequence_99
Sequence_83,43.835616,27.39726,42.028986,29.411765,39.0625,34.42623,41.09589,43.75,49.295775,38.80597,34.42623,36.065574,47.058824,30.985915,32.394366,44.117647,44.117647,37.704918,54.545455,30.882353,54.545455,44.117647,45.588235,26.027397,28.985507,34.375,35.616438,40.84507,31.944444,28.358209,32.352941,38.80597,43.835616,38.356164,45.205479,28.767123,46.575342,34.246575,32.786885,25.757576,27.536232,32.394366,27.941176,52.459016,41.09589,33.333333,35.616438,47.761194,47.761194,35.820896,34.246575,31.506849,47.945205,32.8125,37.704918,29.411765,36.231884,42.465753,37.878788,34.782609,31.506849,57.534247,28.169014,32.786885,35.616438,100.0,28.125,34.920635,34.848485,33.333333,32.8125,44.285714,29.411765,30.434783,33.333333,27.941176,43.835616,42.465753,29.411765,40.57971
Sequence_84,23.4375,40.625,31.25,25.0,65.625,32.786885,26.5625,35.9375,21.875,37.5,32.786885,32.786885,31.25,28.125,28.125,25.0,31.25,32.786885,25.0,28.125,25.0,31.25,31.25,23.4375,29.6875,64.0625,28.125,21.875,54.6875,29.6875,28.125,32.8125,32.8125,26.5625,34.375,31.25,18.75,40.625,27.868852,25.0,29.6875,46.875,26.5625,22.95082,21.875,31.25,37.5,25.0,21.875,23.4375,29.6875,26.5625,42.1875,60.9375,31.147541,25.0,31.25,37.5,37.5,31.25,21.875,28.125,20.3125,27.868852,21.875,28.125,100.0,26.984127,46.875,29.6875,60.9375,37.5,25.0,26.5625,37.5,26.5625,17.1875,37.5,25.0,29.6875
Sequence_85,25.396825,22.222222,46.031746,39.68254,34.920635,36.065574,30.15873,60.31746,30.15873,50.793651,36.065574,37.704918,49.206349,47.619048,49.206349,41.269841,47.619048,37.704918,49.206349,44.444444,49.206349,47.619048,46.031746,17.460317,34.920635,34.920635,31.746032,28.571429,34.920635,26.984127,26.984127,58.730159,47.619048,31.746032,30.15873,28.571429,23.809524,23.809524,32.786885,36.507937,33.333333,36.507937,31.746032,29.508197,33.333333,47.619048,42.857143,39.68254,34.920635,36.507937,26.984127,31.746032,26.984127,34.920635,37.704918,46.031746,52.380952,34.920635,50.793651,46.031746,30.15873,34.920635,34.920635,32.786885,31.746032,34.920635,26.984127,100.0,38.095238,23.809524,31.746032,42.857143,46.031746,42.857143,52.380952,44.444444,26.984127,34.920635,46.031746,46.031746
Sequence_86,25.757576,24.242424,37.878788,33.333333,32.8125,31.147541,31.818182,48.4375,30.30303,46.969697,31.147541,32.786885,43.939394,25.757576,34.848485,36.363636,39.393939,32.786885,45.454545,33.333333,45.454545,42.424242,43.939394,24.242424,33.333333,35.9375,27.272727,28.787879,36.363636,33.333333,28.787879,43.939394,34.848485,33.333333,30.30303,28.787879,28.787879,22.727273,29.508197,31.818182,31.818182,56.060606,31.818182,27.868852,33.333333,42.424242,37.878788,39.393939,36.363636,37.878788,28.787879,37.878788,31.818182,31.25,32.786885,33.333333,50.0,22.727273,51.515152,48.484848,27.272727,31.818182,33.333333,29.508197,22.727273,34.848485,46.875,38.095238,100.0,28.787879,37.5,36.363636,33.333333,45.454545,48.484848,31.818182,27.272727,22.727273,33.333333,36.363636
Sequence_87,47.826087,27.536232,31.884058,23.529412,31.25,32.786885,40.57971,29.6875,33.333333,32.835821,32.786885,31.147541,32.352941,24.637681,28.985507,47.058824,33.823529,31.147541,31.818182,22.058824,31.818182,36.764706,30.882353,24.637681,24.637681,32.8125,37.681159,43.478261,27.536232,26.865672,44.117647,23.880597,28.985507,39.130435,34.782609,30.434783,36.231884,24.637681,27.868852,27.272727,24.637681,21.73913,25.0,39.344262,36.231884,27.536232,26.086957,40.298507,40.298507,40.298507,31.884058,24.637681,47.826087,32.8125,34.42623,20.588235,33.333333,31.884058,33.333333,30.434783,46.376812,28.985507,20.289855,31.147541,34.782609,33.333333,29.6875,23.809524,28.787879,100.0,31.25,34.782609,20.588235,30.434783,27.272727,23.529412,46.376812,31.884058,20.588235,31.884058
Sequence_88,26.5625,39.0625,32.8125,26.5625,70.3125,37.704918,28.125,42.1875,28.125,43.75,37.704918,39.344262,35.9375,28.125,32.8125,31.25,35.9375,37.704918,32.8125,31.25,32.8125,32.8125,37.5,21.875,25.0,90.625,35.9375,25.0,53.125,32.8125,31.25,39.0625,37.5,25.0,35.9375,34.375,18.75,43.75,31.147541,23.4375,25.0,35.9375,28.125,34.42623,29.6875,35.9375,42.1875,26.5625,26.5625,26.5625,28.125,25.0,46.875,71.875,36.065574,25.0,35.9375,40.625,42.1875,35.9375,29.6875,29.6875,20.3125,29.508197,23.4375,32.8125,60.9375,31.746032,37.5,31.25,100.0,39.0625,25.0,31.25,39.0625,25.0,21.875,40.625,25.0,32.8125
Sequence_9,34.285714,28.571429,39.130435,33.823529,45.3125,42.622951,38.571429,51.5625,40.0,46.268657,42.622951,44.262295,39.705882,35.714286,42.857143,38.235294,36.764706,42.622951,39.393939,27.941176,39.393939,38.235294,36.764706,27.142857,27.536232,45.3125,37.142857,37.142857,45.714286,29.850746,29.411765,46.268657,54.285714,35.714286,35.714286,38.571429,31.428571,38.571429,40.983607,30.30303,27.536232,40.0,30.882353,39.344262,31.428571,42.028986,45.714286,37.313433,34.328358,34.328358,31.428571,31.428571,40.0,45.3125,47.540984,30.882353,46.376812,35.714286,48.484848,43.478261,34.285714,42.857143,25.714286,36.065574,32.857143,44.285714,37.5,42.857143,36.363636,34.782609,39.0625,100.0,30.882353,42.028986,43.939394,27.941176,31.428571,35.714286,30.882353,36.231884
Sequence_90,25.0,51.470588,41.176471,64.705882,31.25,19.672131,29.411765,48.4375,22.058824,46.268657,19.672131,19.672131,45.588235,19.117647,22.058824,44.117647,41.176471,18.032787,40.909091,66.176471,40.909091,44.117647,45.588235,48.529412,64.705882,26.5625,19.117647,22.058824,23.529412,56.716418,20.588235,43.283582,27.941176,26.470588,25.0,17.647059,22.058824,47.058824,14.754098,60.606061,63.235294,32.352941,64.705882,21.311475,29.411765,30.882353,32.352941,46.268657,44.776119,38.80597,51.470588,51.470588,26.470588,26.5625,19.672131,98.529412,39.705882,26.470588,43.939394,35.294118,26.470588,29.411765,57.352941,18.032787,20.588235,29.411765,25.0,46.031746,33.333333,20.588235,25.0,30.882353,100.0,35.294118,45.454545,92.647059,23.529412,26.470588,98.529412,41.176471
Sequence_92,31.884058,21.73913,37.681159,27.941176,37.5,37.704918,37.681159,56.25,30.434783,47.761194,37.704918,37.704918,42.647059,36.231884,44.927536,47.058824,39.705882,40.983607,45.454545,30.882353,45.454545,41.176471,39.705882,26.086957,31.884058,34.375,31.884058,30.434783,34.782609,29.850746,29.411765,58.208955,46.376812,36.231884,33.333333,28.985507,30.434783,21.73913,36.065574,30.30303,30.434783,37.681159,29.411765,31.147541,31.884058,66.666667,47.826087,46.268657,43.283582,38.80597,26.086957,30.434783,31.884058,40.625,40.983607,35.294118,84.057971,26.086957,50.0,85.507246,36.231884,36.231884,39.130435,39.344262,26.086957,30.434783,26.5625,42.857143,45.454545,30.434783,31.25,42.028986,35.294118,100.0,48.484848,32.352941,31.884058,26.086957,35.294118,34.782609
Sequence_93,24.242424,28.787879,45.454545,48.484848,42.1875,34.42623,30.30303,54.6875,25.757576,69.69697,34.42623,32.786885,51.515152,33.333333,40.909091,48.484848,50.0,34.42623,48.484848,45.454545,48.484848,45.454545,50.0,24.242424,45.454545,45.3125,34.848485,21.212121,40.909091,45.454545,27.272727,53.030303,40.909091,34.848485,33.333333,30.30303,21.212121,25.757576,29.508197,40.909091,42.424242,36.363636,43.939394,27.868852,31.818182,45.454545,51.515152,43.939394,39.393939,40.909091,31.818182,39.393939,30.30303,43.75,34.42623,45.454545,53.030303,28.787879,81.818182,51.515152,36.363636,36.363636,34.848485,32.786885,25.757576,33.333333,37.5,52.380952,48.484848,27.272727,39.0625,43.939394,45.454545,48.484848,100.0,45.454545,24.242424,28.787879,45.454545,45.454545
Sequence_95,23.529412,50.0,41.176471,61.764706,29.6875,19.672131,26.470588,46.875,20.588235,47.761194,19.672131,19.672131,44.117647,19.117647,20.588235,42.647059,38.235294,18.032787,40.909091,64.705882,40.909091,45.588235,42.647059,45.588235,64.705882,26.5625,20.588235,20.588235,22.058824,55.223881,20.588235,41.791045,25.0,27.941176,25.0,17.647059,22.058824,47.058824,14.754098,57.575758,63.235294,30.882353,61.764706,21.311475,29.411765,29.411765,30.882353,44.776119,43.283582,38.80597,50.0,54.411765,25.0,25.0,21.311475,92.647059,38.235294,25.0,42.424242,32.352941,29.411765,30.882353,57.352941,18.032787,20.588235,27.941176,26.5625,44.444444,31.818182,23.529412,25.0,27.941176,92.647059,32.352941,45.454545,100.0,22.058824,25.0,92.647059,42.647059
Sequence_96,54.794521,26.027397,34.782609,27.941176,21.875,40.983607,45.205479,32.8125,54.929577,29.850746,40.983607,40.983607,33.823529,32.394366,40.84507,45.588235,33.823529,40.983607,37.878788,25.0,37.878788,33.823529,35.294118,35.616438,24.637681,25.0,31.506849,53.521127,22.222222,23.880597,29.411765,29.850746,39.726027,42.465753,41.09589,27.39726,53.424658,24.657534,34.42623,22.727273,21.73913,28.169014,25.0,47.540984,41.09589,30.434783,34.246575,44.776119,44.776119,38.80597,23.287671,26.027397,45.205479,21.875,39.344262,23.529412,31.884058,35.616438,34.848485,30.434783,41.09589,41.09589,18.309859,36.065574,30.136986,43.835616,17.1875,26.984127,27.272727,46.376812,21.875,31.428571,23.529412,31.884058,24.242424,22.058824,100.0,35.616438,23.529412,33.333333
Sequence_97,34.666667,38.666667,34.782609,26.470588,43.75,31.147541,32.0,34.375,33.802817,29.850746,31.147541,32.786885,41.176471,28.169014,32.394366,33.823529,41.176471,36.065574,40.909091,29.411765,40.909091,38.235294,38.235294,18.666667,17.391304,42.1875,29.333333,32.394366,40.277778,23.880597,35.294118,31.343284,34.246575,31.506849,32.0,36.0,32.876712,36.0,31.147541,24.242424,14.492754,26.760563,25.0,45.901639,25.333333,28.985507,40.0,31.343284,31.343284,31.343284,28.0,25.333333,48.648649,45.3125,34.42623,26.470588,28.985507,100.0,28.787879,28.985507,30.136986,43.243243,22.535211,29.508197,33.783784,42.465753,37.5,34.920635,22.727273,31.884058,40.625,35.714286,26.470588,26.086957,28.787879,25.0,35.616438,100.0,26.470588,34.782609
Sequence_98,25.0,52.941176,41.176471,64.705882,31.25,19.672131,29.411765,48.4375,22.058824,46.268657,19.672131,19.672131,45.588235,19.117647,22.058824,44.117647,41.176471,18.032787,40.909091,66.176471,40.909091,44.117647,45.588235,48.529412,64.705882,26.5625,19.117647,22.058824,23.529412,56.716418,20.588235,43.283582,27.941176,26.470588,25.0,17.647059,22.058824,47.058824,14.754098,60.606061,63.235294,32.352941,64.705882,21.311475,29.411765,30.882353,32.352941,46.268657,44.776119,38.80597,51.470588,51.470588,26.470588,26.5625,19.672131,100.0,39.705882,26.470588,43.939394,35.294118,26.470588,30.882353,57.352941,18.032787,20.588235,29.411765,25.0,46.031746,33.333333,20.588235,25.0,30.882353,98.529412,35.294118,45.454545,92.647059,23.529412,26.470588,100.0,41.176471
Sequence_99,28.985507,27.536232,92.753623,41.176471,29.6875,32.786885,36.231884,48.4375,44.927536,55.223881,32.786885,32.786885,61.764706,33.333333,30.434783,48.529412,58.823529,31.147541,60.606061,41.176471,60.606061,63.235294,67.647059,27.536232,34.782609,34.375,27.536232,26.086957,26.086957,38.80597,44.117647,46.268657,33.333333,34.782609,46.376812,30.434783,28.985507,23.188406,31.147541,37.878788,34.782609,33.333333,41.176471,40.983607,37.681159,39.130435,39.130435,49.253731,47.761194,40.298507,33.333333,36.231884,30.434783,31.25,31.147541,41.176471,42.028986,34.782609,50.0,37.681159,36.231884,43.478261,37.681159,27.868852,24.637681,40.57971,29.6875,46.031746,36.363636,31.884058,32.8125,36.231884,41.176471,34.782609,45.454545,42.647059,33.333333,34.782609,41.176471,100.0
